sample_id,obs_id,strain_id,count
dose_4-rep_2-t_1,dose_4-rep_2-t_1-strain_str_025,str_025,885
dose_4-rep_2-t_2,dose_4-rep_2-t_2-strain_str_025,str_025,637
dose_4-rep_2-t_3,dose_4-rep_2-t_3-strain_str_025,str_025,552
dose_4-rep_2-t_4,dose_4-rep_2-t_4-strain_str_025,str_025,367
dose_4-rep_2-t_5,dose_4-rep_2-t_5-strain_str_025,str_025,300
dose_4-rep_0-t_0,dose_4-rep_0-t_0-strain_str_026,str_026,1216
dose_4-rep_0-t_1,dose_4-rep_0-t_1-strain_str_026,str_026,998
dose_4-rep_0-t_2,dose_4-rep_0-t_2-strain_str_026,str_026,1123
dose_4-rep_0-t_3,dose_4-rep_0-t_3-strain_str_026,str_026,1013
dose_4-rep_0-t_4,dose_4-rep_0-t_4-strain_str_026,str_026,911
dose_4-rep_0-t_5,dose_4-rep_0-t_5-strain_str_026,str_026,793
dose_4-rep_1-t_0,dose_4-rep_1-t_0-strain_str_026,str_026,1021
dose_4-rep_1-t_1,dose_4-rep_1-t_1-strain_str_026,str_026,1131
dose_4-rep_1-t_2,dose_4-rep_1-t_2-strain_str_026,str_026,1058
dose_4-rep_1-t_3,dose_4-rep_1-t_3-strain_str_026,str_026,1011
dose_4-rep_1-t_4,dose_4-rep_1-t_4-strain_str_026,str_026,888
dose_4-rep_1-t_5,dose_4-rep_1-t_5-strain_str_026,str_026,746
dose_4-rep_2-t_0,dose_4-rep_2-t_0-strain_str_026,str_026,1533
dose_4-rep_2-t_1,dose_4-rep_2-t_1-strain_str_026,str_026,1147
dose_4-rep_2-t_2,dose_4-rep_2-t_2-strain_str_026,str_026,1180
dose_4-rep_2-t_3,dose_4-rep_2-t_3-strain_str_026,str_026,1032
dose_4-rep_2-t_4,dose_4-rep_2-t_4-strain_str_026,str_026,735
dose_4-rep_2-t_5,dose_4-rep_2-t_5-strain_str_026,str_026,771
dose_4-rep_0-t_0,dose_4-rep_0-t_0-strain_str_027,str_027,1207
dose_4-rep_0-t_1,dose_4-rep_0-t_1-strain_str_027,str_027,732
dose_4-rep_0-t_2,dose_4-rep_0-t_2-strain_str_027,str_027,558
dose_4-rep_0-t_3,dose_4-rep_0-t_3-strain_str_027,str_027,418
dose_4-rep_0-t_4,dose_4-rep_0-t_4-strain_str_027,str_027,266
dose_4-rep_0-t_5,dose_4-rep_0-t_5-strain_str_027,str_027,181
dose_4-rep_1-t_0,dose_4-rep_1-t_0-strain_str_027,str_027,1120
dose_4-rep_1-t_1,dose_4-rep_1-t_1-strain_str_027,str_027,625
dose_4-rep_1-t_2,dose_4-rep_1-t_2-strain_str_027,str_027,626
dose_4-rep_1-t_3,dose_4-rep_1-t_3-strain_str_027,str_027,340
dose_4-rep_1-t_4,dose_4-rep_1-t_4-strain_str_027,str_027,233
dose_4-rep_1-t_5,dose_4-rep_1-t_5-strain_str_027,str_027,196
dose_4-rep_2-t_0,dose_4-rep_2-t_0-strain_str_027,str_027,770
dose_4-rep_2-t_1,dose_4-rep_2-t_1-strain_str_027,str_027,780
dose_4-rep_2-t_2,dose_4-rep_2-t_2-strain_str_027,str_027,439
dose_4-rep_2-t_3,dose_4-rep_2-t_3-strain_str_027,str_027,345
dose_4-rep_2-t_4,dose_4-rep_2-t_4-strain_str_027,str_027,203
dose_4-rep_2-t_5,dose_4-rep_2-t_5-strain_str_027,str_027,179
dose_4-rep_0-t_0,dose_4-rep_0-t_0-strain_str_028,str_028,1106
dose_4-rep_0-t_1,dose_4-rep_0-t_1-strain_str_028,str_028,828
dose_4-rep_0-t_2,dose_4-rep_0-t_2-strain_str_028,str_028,611
dose_4-rep_0-t_3,dose_4-rep_0-t_3-strain_str_028,str_028,451
dose_4-rep_0-t_4,dose_4-rep_0-t_4-strain_str_028,str_028,440
dose_4-rep_0-t_5,dose_4-rep_0-t_5-strain_str_028,str_028,293
dose_4-rep_1-t_0,dose_4-rep_1-t_0-strain_str_028,str_028,1034
dose_4-rep_1-t_1,dose_4-rep_1-t_1-strain_str_028,str_028,722
dose_4-rep_1-t_2,dose_4-rep_1-t_2-strain_str_028,str_028,569
dose_4-rep_1-t_3,dose_4-rep_1-t_3-strain_str_028,str_028,425
dose_4-rep_1-t_4,dose_4-rep_1-t_4-strain_str_028,str_028,373
dose_4-rep_1-t_5,dose_4-rep_1-t_5-strain_str_028,str_028,329
dose_4-rep_2-t_0,dose_4-rep_2-t_0-strain_str_028,str_028,1196
dose_4-rep_2-t_1,dose_4-rep_2-t_1-strain_str_028,str_028,733
dose_4-rep_2-t_2,dose_4-rep_2-t_2-strain_str_028,str_028,590
dose_4-rep_2-t_3,dose_4-rep_2-t_3-strain_str_028,str_028,424
dose_4-rep_2-t_4,dose_4-rep_2-t_4-strain_str_028,str_028,357
dose_4-rep_2-t_5,dose_4-rep_2-t_5-strain_str_028,str_028,310
dose_4-rep_0-t_0,dose_4-rep_0-t_0-strain_str_029,str_029,779
dose_4-rep_0-t_1,dose_4-rep_0-t_1-strain_str_029,str_029,792
dose_4-rep_0-t_2,dose_4-rep_0-t_2-strain_str_029,str_029,749
dose_4-rep_0-t_3,dose_4-rep_0-t_3-strain_str_029,str_029,873
dose_4-rep_0-t_4,dose_4-rep_0-t_4-strain_str_029,str_029,764
dose_4-rep_0-t_5,dose_4-rep_0-t_5-strain_str_029,str_029,753
dose_4-rep_1-t_0,dose_4-rep_1-t_0-strain_str_029,str_029,826
dose_4-rep_1-t_1,dose_4-rep_1-t_1-strain_str_029,str_029,736
dose_4-rep_1-t_2,dose_4-rep_1-t_2-strain_str_029,str_029,797
dose_4-rep_1-t_3,dose_4-rep_1-t_3-strain_str_029,str_029,692
dose_4-rep_1-t_4,dose_4-rep_1-t_4-strain_str_029,str_029,724
dose_4-rep_1-t_5,dose_4-rep_1-t_5-strain_str_029,str_029,697
dose_4-rep_2-t_0,dose_4-rep_2-t_0-strain_str_029,str_029,902
dose_4-rep_2-t_1,dose_4-rep_2-t_1-strain_str_029,str_029,666
dose_4-rep_2-t_2,dose_4-rep_2-t_2-strain_str_029,str_029,786
dose_4-rep_2-t_3,dose_4-rep_2-t_3-strain_str_029,str_029,812
dose_4-rep_2-t_4,dose_4-rep_2-t_4-strain_str_029,str_029,723
dose_4-rep_2-t_5,dose_4-rep_2-t_5-strain_str_029,str_029,708
dose_4-rep_0-t_0,dose_4-rep_0-t_0-strain_str_030,str_030,685
dose_4-rep_0-t_1,dose_4-rep_0-t_1-strain_str_030,str_030,729
dose_4-rep_0-t_2,dose_4-rep_0-t_2-strain_str_030,str_030,819
dose_4-rep_0-t_3,dose_4-rep_0-t_3-strain_str_030,str_030,779
dose_4-rep_0-t_4,dose_4-rep_0-t_4-strain_str_030,str_030,770
dose_4-rep_0-t_5,dose_4-rep_0-t_5-strain_str_030,str_030,682
dose_4-rep_1-t_0,dose_4-rep_1-t_0-strain_str_030,str_030,750
dose_4-rep_1-t_1,dose_4-rep_1-t_1-strain_str_030,str_030,841
dose_4-rep_1-t_2,dose_4-rep_1-t_2-strain_str_030,str_030,786
dose_4-rep_1-t_3,dose_4-rep_1-t_3-strain_str_030,str_030,670
dose_4-rep_1-t_4,dose_4-rep_1-t_4-strain_str_030,str_030,797
dose_4-rep_1-t_5,dose_4-rep_1-t_5-strain_str_030,str_030,688
dose_4-rep_2-t_0,dose_4-rep_2-t_0-strain_str_030,str_030,615
dose_4-rep_2-t_1,dose_4-rep_2-t_1-strain_str_030,str_030,864
dose_4-rep_2-t_2,dose_4-rep_2-t_2-strain_str_030,str_030,753
dose_4-rep_2-t_3,dose_4-rep_2-t_3-strain_str_030,str_030,810
dose_4-rep_2-t_4,dose_4-rep_2-t_4-strain_str_030,str_030,715
dose_4-rep_2-t_5,dose_4-rep_2-t_5-strain_str_030,str_030,739
dose_4-rep_0-t_0,dose_4-rep_0-t_0-strain_str_031,str_031,1329
dose_4-rep_0-t_1,dose_4-rep_0-t_1-strain_str_031,str_031,1231
dose_4-rep_0-t_2,dose_4-rep_0-t_2-strain_str_031,str_031,1326
dose_4-rep_0-t_3,dose_4-rep_0-t_3-strain_str_031,str_031,1462
dose_4-rep_0-t_4,dose_4-rep_0-t_4-strain_str_031,str_031,1397
dose_4-rep_0-t_5,dose_4-rep_0-t_5-strain_str_031,str_031,1435
dose_4-rep_1-t_0,dose_4-rep_1-t_0-strain_str_031,str_031,1290
dose_4-rep_1-t_1,dose_4-rep_1-t_1-strain_str_031,str_031,1419
dose_4-rep_1-t_2,dose_4-rep_1-t_2-strain_str_031,str_031,1474
dose_4-rep_1-t_3,dose_4-rep_1-t_3-strain_str_031,str_031,1672
dose_4-rep_1-t_4,dose_4-rep_1-t_4-strain_str_031,str_031,1692
dose_4-rep_1-t_5,dose_4-rep_1-t_5-strain_str_031,str_031,1501
dose_4-rep_2-t_0,dose_4-rep_2-t_0-strain_str_031,str_031,1291
dose_4-rep_2-t_1,dose_4-rep_2-t_1-strain_str_031,str_031,1357
dose_4-rep_2-t_2,dose_4-rep_2-t_2-strain_str_031,str_031,1513
dose_4-rep_2-t_3,dose_4-rep_2-t_3-strain_str_031,str_031,1430
dose_4-rep_2-t_4,dose_4-rep_2-t_4-strain_str_031,str_031,1499
dose_4-rep_2-t_5,dose_4-rep_2-t_5-strain_str_031,str_031,1360
dose_4-rep_0-t_0,dose_4-rep_0-t_0-strain_str_032,str_032,1063
dose_4-rep_0-t_1,dose_4-rep_0-t_1-strain_str_032,str_032,722
dose_4-rep_0-t_2,dose_4-rep_0-t_2-strain_str_032,str_032,752
dose_4-rep_0-t_3,dose_4-rep_0-t_3-strain_str_032,str_032,505
dose_4-rep_0-t_4,dose_4-rep_0-t_4-strain_str_032,str_032,474
dose_4-rep_0-t_5,dose_4-rep_0-t_5-strain_str_032,str_032,461
dose_4-rep_1-t_0,dose_4-rep_1-t_0-strain_str_032,str_032,954
dose_4-rep_1-t_1,dose_4-rep_1-t_1-strain_str_032,str_032,735
dose_4-rep_1-t_2,dose_4-rep_1-t_2-strain_str_032,str_032,699
dose_4-rep_1-t_3,dose_4-rep_1-t_3-strain_str_032,str_032,493
dose_4-rep_1-t_4,dose_4-rep_1-t_4-strain_str_032,str_032,567
dose_4-rep_1-t_5,dose_4-rep_1-t_5-strain_str_032,str_032,427
dose_4-rep_2-t_0,dose_4-rep_2-t_0-strain_str_032,str_032,640
dose_4-rep_2-t_1,dose_4-rep_2-t_1-strain_str_032,str_032,793
dose_4-rep_2-t_2,dose_4-rep_2-t_2-strain_str_032,str_032,648
dose_4-rep_2-t_3,dose_4-rep_2-t_3-strain_str_032,str_032,526
dose_4-rep_2-t_4,dose_4-rep_2-t_4-strain_str_032,str_032,490
dose_4-rep_2-t_5,dose_4-rep_2-t_5-strain_str_032,str_032,409
dose_4-rep_0-t_0,dose_4-rep_0-t_0-strain_str_033,str_033,722
dose_4-rep_0-t_1,dose_4-rep_0-t_1-strain_str_033,str_033,638
dose_4-rep_0-t_2,dose_4-rep_0-t_2-strain_str_033,str_033,702
dose_4-rep_0-t_3,dose_4-rep_0-t_3-strain_str_033,str_033,534
dose_4-rep_0-t_4,dose_4-rep_0-t_4-strain_str_033,str_033,463
dose_4-rep_0-t_5,dose_4-rep_0-t_5-strain_str_033,str_033,492
dose_4-rep_1-t_0,dose_4-rep_1-t_0-strain_str_033,str_033,651
dose_4-rep_1-t_1,dose_4-rep_1-t_1-strain_str_033,str_033,774
dose_4-rep_1-t_2,dose_4-rep_1-t_2-strain_str_033,str_033,474
dose_4-rep_1-t_3,dose_4-rep_1-t_3-strain_str_033,str_033,581
dose_4-rep_1-t_4,dose_4-rep_1-t_4-strain_str_033,str_033,455
dose_4-rep_1-t_5,dose_4-rep_1-t_5-strain_str_033,str_033,424
dose_4-rep_2-t_0,dose_4-rep_2-t_0-strain_str_033,str_033,743
dose_4-rep_2-t_1,dose_4-rep_2-t_1-strain_str_033,str_033,625
dose_4-rep_2-t_2,dose_4-rep_2-t_2-strain_str_033,str_033,464
dose_4-rep_2-t_3,dose_4-rep_2-t_3-strain_str_033,str_033,607
dose_4-rep_2-t_4,dose_4-rep_2-t_4-strain_str_033,str_033,498
dose_4-rep_2-t_5,dose_4-rep_2-t_5-strain_str_033,str_033,445
dose_4-rep_0-t_0,dose_4-rep_0-t_0-strain_str_034,str_034,902
dose_4-rep_0-t_1,dose_4-rep_0-t_1-strain_str_034,str_034,847
dose_4-rep_0-t_2,dose_4-rep_0-t_2-strain_str_034,str_034,811
dose_4-rep_0-t_3,dose_4-rep_0-t_3-strain_str_034,str_034,639
dose_4-rep_0-t_4,dose_4-rep_0-t_4-strain_str_034,str_034,697
dose_4-rep_0-t_5,dose_4-rep_0-t_5-strain_str_034,str_034,540
dose_4-rep_1-t_0,dose_4-rep_1-t_0-strain_str_034,str_034,1120
dose_4-rep_1-t_1,dose_4-rep_1-t_1-strain_str_034,str_034,815
dose_4-rep_1-t_2,dose_4-rep_1-t_2-strain_str_034,str_034,869
dose_4-rep_1-t_3,dose_4-rep_1-t_3-strain_str_034,str_034,690
dose_4-rep_1-t_4,dose_4-rep_1-t_4-strain_str_034,str_034,686
dose_4-rep_1-t_5,dose_4-rep_1-t_5-strain_str_034,str_034,603
dose_4-rep_2-t_0,dose_4-rep_2-t_0-strain_str_034,str_034,874
dose_4-rep_2-t_1,dose_4-rep_2-t_1-strain_str_034,str_034,938
dose_4-rep_2-t_2,dose_4-rep_2-t_2-strain_str_034,str_034,822
dose_4-rep_2-t_3,dose_4-rep_2-t_3-strain_str_034,str_034,705
dose_4-rep_2-t_4,dose_4-rep_2-t_4-strain_str_034,str_034,593
dose_4-rep_2-t_5,dose_4-rep_2-t_5-strain_str_034,str_034,564
dose_4-rep_0-t_0,dose_4-rep_0-t_0-strain_str_035,str_035,2346
dose_4-rep_0-t_1,dose_4-rep_0-t_1-strain_str_035,str_035,1675
dose_4-rep_0-t_2,dose_4-rep_0-t_2-strain_str_035,str_035,1344
dose_4-rep_0-t_3,dose_4-rep_0-t_3-strain_str_035,str_035,1023
dose_4-rep_0-t_4,dose_4-rep_0-t_4-strain_str_035,str_035,800
dose_4-rep_0-t_5,dose_4-rep_0-t_5-strain_str_035,str_035,771
dose_4-rep_1-t_0,dose_4-rep_1-t_0-strain_str_035,str_035,2148
dose_4-rep_1-t_1,dose_4-rep_1-t_1-strain_str_035,str_035,1664
dose_4-rep_1-t_2,dose_4-rep_1-t_2-strain_str_035,str_035,1330
dose_4-rep_1-t_3,dose_4-rep_1-t_3-strain_str_035,str_035,1079
dose_4-rep_1-t_4,dose_4-rep_1-t_4-strain_str_035,str_035,908
dose_4-rep_1-t_5,dose_4-rep_1-t_5-strain_str_035,str_035,653
dose_4-rep_2-t_0,dose_4-rep_2-t_0-strain_str_035,str_035,2134
dose_4-rep_2-t_1,dose_4-rep_2-t_1-strain_str_035,str_035,1496
dose_4-rep_2-t_2,dose_4-rep_2-t_2-strain_str_035,str_035,1361
dose_4-rep_2-t_3,dose_4-rep_2-t_3-strain_str_035,str_035,1041
dose_4-rep_2-t_4,dose_4-rep_2-t_4-strain_str_035,str_035,837
dose_4-rep_2-t_5,dose_4-rep_2-t_5-strain_str_035,str_035,710
dose_4-rep_0-t_0,dose_4-rep_0-t_0-strain_str_036,str_036,1121
dose_4-rep_0-t_1,dose_4-rep_0-t_1-strain_str_036,str_036,634
dose_4-rep_0-t_2,dose_4-rep_0-t_2-strain_str_036,str_036,652
dose_4-rep_0-t_3,dose_4-rep_0-t_3-strain_str_036,str_036,338
dose_4-rep_0-t_4,dose_4-rep_0-t_4-strain_str_036,str_036,302
dose_4-rep_0-t_5,dose_4-rep_0-t_5-strain_str_036,str_036,241
dose_4-rep_1-t_0,dose_4-rep_1-t_0-strain_str_036,str_036,961
dose_4-rep_1-t_1,dose_4-rep_1-t_1-strain_str_036,str_036,804
dose_4-rep_1-t_2,dose_4-rep_1-t_2-strain_str_036,str_036,540
dose_4-rep_1-t_3,dose_4-rep_1-t_3-strain_str_036,str_036,422
dose_4-rep_1-t_4,dose_4-rep_1-t_4-strain_str_036,str_036,287
dose_4-rep_1-t_5,dose_4-rep_1-t_5-strain_str_036,str_036,231
dose_4-rep_2-t_0,dose_4-rep_2-t_0-strain_str_036,str_036,942
dose_4-rep_2-t_1,dose_4-rep_2-t_1-strain_str_036,str_036,710
dose_4-rep_2-t_2,dose_4-rep_2-t_2-strain_str_036,str_036,557
dose_4-rep_2-t_3,dose_4-rep_2-t_3-strain_str_036,str_036,467
dose_4-rep_2-t_4,dose_4-rep_2-t_4-strain_str_036,str_036,325
dose_4-rep_2-t_5,dose_4-rep_2-t_5-strain_str_036,str_036,284
dose_4-rep_0-t_0,dose_4-rep_0-t_0-strain_str_037,str_037,1186
dose_4-rep_0-t_1,dose_4-rep_0-t_1-strain_str_037,str_037,1120
dose_4-rep_0-t_2,dose_4-rep_0-t_2-strain_str_037,str_037,1220
dose_4-rep_0-t_3,dose_4-rep_0-t_3-strain_str_037,str_037,1016
dose_4-rep_0-t_4,dose_4-rep_0-t_4-strain_str_037,str_037,961
dose_4-rep_0-t_5,dose_4-rep_0-t_5-strain_str_037,str_037,770
dose_4-rep_1-t_0,dose_4-rep_1-t_0-strain_str_037,str_037,1316
dose_4-rep_1-t_1,dose_4-rep_1-t_1-strain_str_037,str_037,1064
dose_4-rep_1-t_2,dose_4-rep_1-t_2-strain_str_037,str_037,1027
dose_4-rep_1-t_3,dose_4-rep_1-t_3-strain_str_037,str_037,958
dose_4-rep_1-t_4,dose_4-rep_1-t_4-strain_str_037,str_037,798
dose_4-rep_1-t_5,dose_4-rep_1-t_5-strain_str_037,str_037,778
dose_4-rep_2-t_0,dose_4-rep_2-t_0-strain_str_037,str_037,1208
dose_4-rep_2-t_1,dose_4-rep_2-t_1-strain_str_037,str_037,1203
dose_4-rep_2-t_2,dose_4-rep_2-t_2-strain_str_037,str_037,1091
dose_4-rep_2-t_3,dose_4-rep_2-t_3-strain_str_037,str_037,997
dose_4-rep_2-t_4,dose_4-rep_2-t_4-strain_str_037,str_037,834
dose_4-rep_2-t_5,dose_4-rep_2-t_5-strain_str_037,str_037,847
dose_4-rep_0-t_0,dose_4-rep_0-t_0-strain_str_038,str_038,675
dose_4-rep_0-t_1,dose_4-rep_0-t_1-strain_str_038,str_038,679
dose_4-rep_0-t_2,dose_4-rep_0-t_2-strain_str_038,str_038,593
dose_4-rep_0-t_3,dose_4-rep_0-t_3-strain_str_038,str_038,531
dose_4-rep_0-t_4,dose_4-rep_0-t_4-strain_str_038,str_038,324
dose_4-rep_0-t_5,dose_4-rep_0-t_5-strain_str_038,str_038,311
dose_4-rep_1-t_0,dose_4-rep_1-t_0-strain_str_038,str_038,788
dose_4-rep_1-t_1,dose_4-rep_1-t_1-strain_str_038,str_038,677
dose_4-rep_1-t_2,dose_4-rep_1-t_2-strain_str_038,str_038,571
dose_4-rep_1-t_3,dose_4-rep_1-t_3-strain_str_038,str_038,435
dose_4-rep_1-t_4,dose_4-rep_1-t_4-strain_str_038,str_038,344
dose_4-rep_1-t_5,dose_4-rep_1-t_5-strain_str_038,str_038,309
dose_4-rep_2-t_0,dose_4-rep_2-t_0-strain_str_038,str_038,749
dose_4-rep_2-t_1,dose_4-rep_2-t_1-strain_str_038,str_038,627
dose_4-rep_2-t_2,dose_4-rep_2-t_2-strain_str_038,str_038,562
dose_4-rep_2-t_3,dose_4-rep_2-t_3-strain_str_038,str_038,418
dose_4-rep_2-t_4,dose_4-rep_2-t_4-strain_str_038,str_038,371
dose_4-rep_2-t_5,dose_4-rep_2-t_5-strain_str_038,str_038,292
dose_4-rep_0-t_0,dose_4-rep_0-t_0-strain_str_039,str_039,1169
dose_4-rep_0-t_1,dose_4-rep_0-t_1-strain_str_039,str_039,1472
dose_4-rep_0-t_2,dose_4-rep_0-t_2-strain_str_039,str_039,1366
dose_4-rep_0-t_3,dose_4-rep_0-t_3-strain_str_039,str_039,1210
dose_4-rep_0-t_4,dose_4-rep_0-t_4-strain_str_039,str_039,1296
dose_4-rep_0-t_5,dose_4-rep_0-t_5-strain_str_039,str_039,1265
dose_4-rep_1-t_0,dose_4-rep_1-t_0-strain_str_039,str_039,1393
dose_4-rep_1-t_1,dose_4-rep_1-t_1-strain_str_039,str_039,1251
dose_4-rep_1-t_2,dose_4-rep_1-t_2-strain_str_039,str_039,1477
dose_4-rep_1-t_3,dose_4-rep_1-t_3-strain_str_039,str_039,1263
dose_4-rep_1-t_4,dose_4-rep_1-t_4-strain_str_039,str_039,1123
dose_4-rep_1-t_5,dose_4-rep_1-t_5-strain_str_039,str_039,1092
dose_4-rep_2-t_0,dose_4-rep_2-t_0-strain_str_039,str_039,1053
dose_4-rep_2-t_1,dose_4-rep_2-t_1-strain_str_039,str_039,1194
dose_4-rep_2-t_2,dose_4-rep_2-t_2-strain_str_039,str_039,1376
dose_4-rep_2-t_3,dose_4-rep_2-t_3-strain_str_039,str_039,1404
dose_4-rep_2-t_4,dose_4-rep_2-t_4-strain_str_039,str_039,1216
dose_4-rep_2-t_5,dose_4-rep_2-t_5-strain_str_039,str_039,1101
dose_4-rep_0-t_0,dose_4-rep_0-t_0-strain_str_040,str_040,1051
dose_4-rep_0-t_1,dose_4-rep_0-t_1-strain_str_040,str_040,677
dose_4-rep_0-t_2,dose_4-rep_0-t_2-strain_str_040,str_040,799
dose_4-rep_0-t_3,dose_4-rep_0-t_3-strain_str_040,str_040,656
dose_4-rep_0-t_4,dose_4-rep_0-t_4-strain_str_040,str_040,613
dose_4-rep_0-t_5,dose_4-rep_0-t_5-strain_str_040,str_040,605
dose_4-rep_1-t_0,dose_4-rep_1-t_0-strain_str_040,str_040,1197
dose_4-rep_1-t_1,dose_4-rep_1-t_1-strain_str_040,str_040,905
dose_4-rep_1-t_2,dose_4-rep_1-t_2-strain_str_040,str_040,794
dose_4-rep_1-t_3,dose_4-rep_1-t_3-strain_str_040,str_040,741
dose_4-rep_1-t_4,dose_4-rep_1-t_4-strain_str_040,str_040,605
dose_4-rep_1-t_5,dose_4-rep_1-t_5-strain_str_040,str_040,592
dose_4-rep_2-t_0,dose_4-rep_2-t_0-strain_str_040,str_040,962
dose_4-rep_2-t_1,dose_4-rep_2-t_1-strain_str_040,str_040,938
dose_4-rep_2-t_2,dose_4-rep_2-t_2-strain_str_040,str_040,797
dose_4-rep_2-t_3,dose_4-rep_2-t_3-strain_str_040,str_040,704
dose_4-rep_2-t_4,dose_4-rep_2-t_4-strain_str_040,str_040,789
dose_4-rep_2-t_5,dose_4-rep_2-t_5-strain_str_040,str_040,648
dose_4-rep_0-t_0,dose_4-rep_0-t_0-strain_str_041,str_041,621
dose_4-rep_0-t_1,dose_4-rep_0-t_1-strain_str_041,str_041,764
dose_4-rep_0-t_2,dose_4-rep_0-t_2-strain_str_041,str_041,741
dose_4-rep_0-t_3,dose_4-rep_0-t_3-strain_str_041,str_041,672
dose_4-rep_0-t_4,dose_4-rep_0-t_4-strain_str_041,str_041,643
dose_4-rep_0-t_5,dose_4-rep_0-t_5-strain_str_041,str_041,607
dose_4-rep_1-t_0,dose_4-rep_1-t_0-strain_str_041,str_041,509
dose_4-rep_1-t_1,dose_4-rep_1-t_1-strain_str_041,str_041,602
dose_4-rep_1-t_2,dose_4-rep_1-t_2-strain_str_041,str_041,842
dose_4-rep_1-t_3,dose_4-rep_1-t_3-strain_str_041,str_041,664
dose_4-rep_1-t_4,dose_4-rep_1-t_4-strain_str_041,str_041,630
dose_4-rep_1-t_5,dose_4-rep_1-t_5-strain_str_041,str_041,665
dose_4-rep_2-t_0,dose_4-rep_2-t_0-strain_str_041,str_041,593
dose_4-rep_2-t_1,dose_4-rep_2-t_1-strain_str_041,str_041,770
dose_4-rep_2-t_2,dose_4-rep_2-t_2-strain_str_041,str_041,680
dose_4-rep_2-t_3,dose_4-rep_2-t_3-strain_str_041,str_041,724
dose_4-rep_2-t_4,dose_4-rep_2-t_4-strain_str_041,str_041,654
dose_4-rep_2-t_5,dose_4-rep_2-t_5-strain_str_041,str_041,750
dose_4-rep_0-t_0,dose_4-rep_0-t_0-strain_str_042,str_042,968
dose_4-rep_0-t_1,dose_4-rep_0-t_1-strain_str_042,str_042,1264
dose_4-rep_0-t_2,dose_4-rep_0-t_2-strain_str_042,str_042,1204
dose_4-rep_0-t_3,dose_4-rep_0-t_3-strain_str_042,str_042,1232
dose_4-rep_0-t_4,dose_4-rep_0-t_4-strain_str_042,str_042,1122
dose_4-rep_0-t_5,dose_4-rep_0-t_5-strain_str_042,str_042,1080
dose_4-rep_1-t_0,dose_4-rep_1-t_0-strain_str_042,str_042,1222
dose_4-rep_1-t_1,dose_4-rep_1-t_1-strain_str_042,str_042,1200
dose_4-rep_1-t_2,dose_4-rep_1-t_2-strain_str_042,str_042,1215
dose_4-rep_1-t_3,dose_4-rep_1-t_3-strain_str_042,str_042,1355
dose_4-rep_1-t_4,dose_4-rep_1-t_4-strain_str_042,str_042,1019
dose_4-rep_1-t_5,dose_4-rep_1-t_5-strain_str_042,str_042,1030
dose_4-rep_2-t_0,dose_4-rep_2-t_0-strain_str_042,str_042,1345
dose_4-rep_2-t_1,dose_4-rep_2-t_1-strain_str_042,str_042,1338
dose_4-rep_2-t_2,dose_4-rep_2-t_2-strain_str_042,str_042,1263
dose_4-rep_2-t_3,dose_4-rep_2-t_3-strain_str_042,str_042,1012
dose_4-rep_2-t_4,dose_4-rep_2-t_4-strain_str_042,str_042,1122
dose_4-rep_2-t_5,dose_4-rep_2-t_5-strain_str_042,str_042,1047
dose_4-rep_0-t_0,dose_4-rep_0-t_0-strain_str_043,str_043,1080
dose_4-rep_0-t_1,dose_4-rep_0-t_1-strain_str_043,str_043,953
dose_4-rep_0-t_2,dose_4-rep_0-t_2-strain_str_043,str_043,800
dose_4-rep_0-t_3,dose_4-rep_0-t_3-strain_str_043,str_043,694
dose_4-rep_0-t_4,dose_4-rep_0-t_4-strain_str_043,str_043,598
dose_4-rep_0-t_5,dose_4-rep_0-t_5-strain_str_043,str_043,603
dose_4-rep_1-t_0,dose_4-rep_1-t_0-strain_str_043,str_043,1380
dose_4-rep_1-t_1,dose_4-rep_1-t_1-strain_str_043,str_043,1122
dose_4-rep_1-t_2,dose_4-rep_1-t_2-strain_str_043,str_043,833
dose_4-rep_1-t_3,dose_4-rep_1-t_3-strain_str_043,str_043,759
dose_4-rep_1-t_4,dose_4-rep_1-t_4-strain_str_043,str_043,686
dose_4-rep_1-t_5,dose_4-rep_1-t_5-strain_str_043,str_043,590
dose_4-rep_2-t_0,dose_4-rep_2-t_0-strain_str_043,str_043,1211
dose_4-rep_2-t_1,dose_4-rep_2-t_1-strain_str_043,str_043,1110
dose_4-rep_2-t_2,dose_4-rep_2-t_2-strain_str_043,str_043,845
dose_4-rep_2-t_3,dose_4-rep_2-t_3-strain_str_043,str_043,778
dose_4-rep_2-t_4,dose_4-rep_2-t_4-strain_str_043,str_043,625
dose_4-rep_2-t_5,dose_4-rep_2-t_5-strain_str_043,str_043,562
dose_4-rep_0-t_0,dose_4-rep_0-t_0-strain_str_044,str_044,1458
dose_4-rep_0-t_1,dose_4-rep_0-t_1-strain_str_044,str_044,1291
dose_4-rep_0-t_2,dose_4-rep_0-t_2-strain_str_044,str_044,1470
dose_4-rep_0-t_3,dose_4-rep_0-t_3-strain_str_044,str_044,1382
dose_4-rep_0-t_4,dose_4-rep_0-t_4-strain_str_044,str_044,1405
dose_4-rep_0-t_5,dose_4-rep_0-t_5-strain_str_044,str_044,1304
dose_4-rep_1-t_0,dose_4-rep_1-t_0-strain_str_044,str_044,1315
dose_4-rep_1-t_1,dose_4-rep_1-t_1-strain_str_044,str_044,1547
dose_4-rep_1-t_2,dose_4-rep_1-t_2-strain_str_044,str_044,1465
